"房屋户型","所在楼层","建筑面积","户型结构","套内面积","建筑类型","房屋朝向","建筑结构","装修情况","梯户比例","配备电梯","产权年限","title","price","url"
"2室1厅1厨1卫","低楼层 (共9层)","41.3㎡","暂无数据","暂无数据","塔楼","南","钢混结构","简装","一梯五户","无","70年","康王北路 底层 方正两房 交通便利_广州荔湾陈家祠康王北路二手房(广州链家)","27361","https://gz.lianjia.com/ershoufang/108400835926.html"
"2室2厅1厨1卫","中楼层 (共16层)","84.12㎡","暂无数据","暂无数据","塔楼","东南","钢混结构","精装","两梯十户","有","70年","锦绣半岛两房 产权满两年 产权清晰 户型方正 电梯楼_广州番禺南浦锦绣半岛西区二手房(广州链家)","26154","https://gz.lianjia.com/ershoufang/108400379983.html"
"2室2厅1厨2卫","中楼层 (共15层)","54.74㎡","暂无数据","暂无数据","塔楼","南","钢混结构","简装","一梯九户","有","70年","双子星城 中层南向两房 无遮挡 通风好_广州海珠新港西双子星城二手房(广州链家)","42017","https://gz.lianjia.com/ershoufang/108200025455.html"
"3室2厅1厨1卫","低楼层 (共9层)","90.6㎡","平层","暂无数据","塔楼","东北","钢混结构","简装","一梯八户","有","70年","丽江花园 丽字楼 三房 电梯房 采光好 通风透气_广州番禺南浦丽江花园丽荃楼二手房(广州链家)","22076","https://gz.lianjia.com/ershoufang/108400462458.html"
"3室2厅1厨1卫","低楼层 (共9层)","91.5㎡","平层","88㎡","板楼","东","钢混结构","精装","一梯四户","有","70年","苑中电梯楼 南北对流，环境安静，舒心温馨小居_广州南海金沙洲万科四季花城茉莉苑二手房(广州链家)","18580","https://fs.lianjia.com/ershoufang/108400646867.html"
"2室1厅1厨1卫","低楼层 (共9层)","37.59㎡","平层","暂无数据","塔楼","东北","钢混结构","简装","一梯十二户","无","70年","晓港湾 实用温馨两房 间隔方正_广州海珠金碧晓港湾明华苑二手房(广州链家)","31924","https://gz.lianjia.com/ershoufang/108400259620.html"
"3室2厅1厨1卫","高楼层 (共17层)","97㎡","平层","80.24㎡","板楼","东南 南","钢混结构","简装","两梯四户","有","70年","房子过五年，唯一，稀有户型，业主有心出售_广州南海金沙洲万科四季花城尚山美筑二手房(广州链家)","19073","https://fs.lianjia.com/ershoufang/108400813989.html"
"3室2厅1厨2卫","中楼层 (共33层)","95.75㎡","平层","74.93㎡","塔楼","南","钢混结构","精装","两梯四户","有","70年","龙湖首开天宸原著 南向三房 安静通风采光好 全新未住_广州天河黄村龙湖首开天宸原著二手房(广州链家)","54309","https://gz.lianjia.com/ershoufang/108400686875.html"
"3室2厅1厨1卫","中楼层 (共18层)","96.02㎡","平层","77.37㎡","塔楼","北","钢混结构","精装","两梯四户","有","70年","精装三房 南北对流 高楼层 满五唯一 业主急卖_广州增城凤凰城碧桂园凤凰城凤馨苑二手房(广州链家)","21350","https://gz.lianjia.com/ershoufang/108400780807.html"
"3室1厅1厨1卫","高楼层 (共25层)","101.96㎡","平层","79.49㎡","塔楼","东北","钢混结构","精装","两梯八户","有","70年","东兴大厦 电梯三房 地铁覆盖 性价高_广州越秀环市东东兴大厦二手房(广州链家)","38251","https://gz.lianjia.com/ershoufang/108400538299.html"
