,建筑面积,房屋朝向,装修情况,梯户比例,配备电梯,title,price,房间数量,客厅数量,厨房数量,厕所数量,楼层,楼层总数
1558,142.22,东南,毛坯,一梯两户,1,花都颐和山庄 居住环境舒适 户型实用_广州花都狮岭镇花都颐和山庄泊林半岛二手房(广州链家),7032,3,2,1,2,低,9
1075,59.53,东南 南,精装,三梯两户,1,舒适大一房 高层南向采光好 看房方便无按揭_广州花都山前大道美林湖美汇半岛二手房(广州链家),7392,1,1,1,1,高,18
377,160.34,南 北,毛坯,两梯三户,1,一线江景，超大阳台  南北对流_广州花都炭步颐和盛世二手房(广州链家),7485,3,2,1,2,中,32
1213,66.7,西,精装,一梯四户,0,金碧御水山庄 环境优美万达城旁边 4A级度假区_广州花都狮岭镇金碧御水山庄二手房(广州链家),7497,2,2,1,1,高,6
1038,83.58,西北,精装,三梯一户,1,全新没住过和一手没区别，格局方正，采光通风好。_广州花都山前大道美林湖天汇半岛二手房(广州链家),7658,2,2,1,1,低,13
1656,81.76,东南,精装,三梯一户,1,广州北，轻轨旁，长隆旁，交通便利，磁悬浮站200米_广州花都山前大道美林湖天汇半岛二手房(广州链家),7682,2,2,1,1,低,18
578,82,西北,精装,三梯一户,1,高层采光好  广州北不需要指标  带精装修 随时看房_广州花都山前大道美林湖天汇半岛二手房(广州链家),7683,2,2,1,1,高,18
701,73.48,南,简装,一梯五户,0,红珠路4号.格局方正。采光通风好。近地铁........._广州花都旧区红珠路二手房(广州链家),7894,3,2,1,1,高,7
1893,60,东 北,精装,三梯一户,1,该房源为东北户型 中高楼层 近市场看别墅_广州花都山前大道美林湖美汇半岛二手房(广州链家),8000,1,2,1,1,低,18
1002,142.7,东南,精装,两梯四户,1,颐和山庄 揽峰 精装4房 东南向无遮挡 单价不到一万_广州花都狮岭镇花都颐和山庄二手房(广州链家),8059,4,2,1,2,低,18
1417,121.26,南,简装,一梯两户,0,"121平宽大House,尽可能的往宽了想..._广州增城新塘南摩托车市场二手房(广州链家)",8247,4,1,1,2,中,5
1446,74.86,南,简装,一梯四户,0,园圃路 2室2厅 63万_广州增城荔城中区园圃路二手房(广州链家),8416,2,2,1,1,中,7
1689,113.08,南,精装,一梯四户,0,全新装修 低总价首付 刚需单位_广州南沙大岗镇潭洲博爱商场二手房(广州链家),8446,3,2,1,2,中,8
184,98.63,南,精装,两梯六户,1,天然氧吧 富力泉天下，环境优美 风景宜人_广州从化温泉镇富力泉天下二手房(广州链家),8619,3,2,1,2,高,18
1709,99,南,精装,一梯六户,0,位于增城好地段，交通方便，环境舒适，配套完善_广州增城荔城富鹏开园中路二手房(广州链家),8687,3,1,1,1,高,8
1397,74.22,南 北,精装,一梯八户,0,2房   高楼层，配套齐全，总价低_广州花都旧区富丽花园二手房(广州链家),8758,2,2,1,1,高,9
1428,63.79,西南,简装,一梯四户,0,富鹏沙园小区 条砖 小三房 南向 旧证过户 光线好_广州增城荔城富鹏沙园小区二手房(广州链家),8779,3,1,1,1,高,8
1019,85.17,西南,简装,一梯两户,0,富鹏中楼层，光线充足 精致小三房_广州增城荔城富鹏城丰路二手房(广州链家),8806,3,2,1,1,中,8
234,118.67,南 北,精装,一梯四户,1,狮城花园 中层大3房。因业主要回家发展，房子诚心出售_广州花都狮岭镇狮峰花园二手房(广州链家),8849,3,2,1,2,高,7
867,80.1,东,简装,一梯四户,0,滨海花园(增城) 3室1厅 72万_广州增城荔城中区滨海花园(增城)二手房(广州链家),8989,3,1,1,1,高,8
109,99.9,南,简装,一梯两户,0,三房带主套 南向 采光足 高楼层_广州增城荔城中区岗前小区二手房(广州链家),9110,3,2,1,1,高,8
1096,79,西南,简装,一梯九户,0,此房南北对流，配套完善，小区人文环境好。_广州花都旧区兰圃新村二手房(广州链家),9114,3,1,1,1,高,6
875,96.53,西,简装,一梯十六户,0,花城路 3房 南向 地铁口物业_广州花都旧区花城路二手房(广州链家),9117,3,2,1,1,中,7
1122,114.92,南,简装,一梯四户,0,增城万达广场 大3房户型方正 满五唯一 单价九千多_广州增城荔城中区滨海花园(增城)二手房(广州链家),9224,3,2,1,1,高,8
442,88.17,南,精装,一梯两户,0,"地段好，价格实惠，衣食住行便捷,装修新净_广州增城荔城中区西城路五福街二手房(广州链家)",9301,3,2,1,1,中,7
521,87.52,北,简装,一梯三户,0,业主诚意出售，户型实用。格局明亮，生活便利_广州增城荔城富鹏开园路二手房(广州链家),9370,3,2,1,1,中,7
299,66.13,北,精装,一梯四户,0,挂绿物业小区 2室1厅 62万_广州增城荔城中区挂绿物业小区二手房(广州链家),9376,2,1,1,1,高,7
459,101.18,南,简装,一梯两户,0,摩托车市场大三房 证满五年唯一 业主诚心放卖_广州增城新塘南摩托车市场二手房(广州链家),9489,3,2,1,1,高,7
1311,87.43,南,精装,一梯两户,0,位于别墅区的洋房，景观好，空气佳 安静舒适_广州花都狮岭镇溢盈湖畔别墅二手房(广州链家),9608,3,2,1,1,高,6
816,66.27,南,精装,一梯两户,0,业主急卖，诚意出售，正规两房，装修好_广州花都狮岭镇溢盈湖畔别墅二手房(广州链家),9658,2,1,1,1,中,5
20,78.4,南,简装,一梯一户,0,大2房！交通便利，格局好！配套好！_广州番禺沙湾紫坭糖厂二手房(广州链家),9694,2,1,1,1,高,6
1674,100.91,东,简装,一梯六户,0,中区东汇城旁成熟小区实用户型准备加装电梯_广州增城荔城中区岗前小区二手房(广州链家),9811,4,2,1,2,高,8
1274,74.8,南,简装,一梯两户,0,新华30小区光明巷3房2厅1厨1卫_广州花都旧区30号小区二手房(广州链家),9894,3,2,1,1,高,5
826,105,南,精装,两梯三户,1,够五年不唯一，税费低，带精装修，三房适合一家大小。_广州花都炭步好美嘉园二手房(广州链家),10000,3,2,1,2,高,17
1731,83.6,北,精装,两梯六户,1,一个字，笋！富力泉单价1万两房，依山而建，温泉在旁_广州从化温泉镇富力泉天下二手房(广州链家),10048,2,1,1,1,低,18
789,92.44,南 北,简装,一梯十户,0,南北通透，视野宽阔，采光充足，配套实施齐全_广州花都旧区粮食局小区二手房(广州链家),10061,3,1,1,1,高,9
287,104.08,北,简装,六梯八户,1,桂园楼小区 4室2厅 105万_广州花都旧区桂园楼小区二手房(广州链家),10089,4,2,1,1,中,9
1495,111.01,东南 西北,简装,一梯四户,0,花都湖.体育馆板块.步梯中层.大户3房.地铁沿线_广州花都新区商业大道二手房(广州链家),10090,3,2,1,1,中,8
333,28.54,东南,简装,一梯四十四户,0,花都湖湿地公园、花果山地铁口旁、面积小、总价低_广州花都旧区金联市场二手房(广州链家),10162,1,0,1,1,低,9
528,28.54,北,精装,一梯二十六户,0,花都湖湿地公园、花果山地铁口旁、新装修、总价低_广州花都旧区金联市场二手房(广州链家),10162,1,0,1,1,中,8
390,66.03,东,简装,一梯两户,1,8号线北延段地铁口，小区4楼平台花园，户型方正光线好_广州花都镜湖大道雅图花园二手房(广州链家),10299,2,1,1,1,中,11
1758,83,南,简装,一梯三户,0,大墩街 靓楼层 马赛克外墙 装修新净 证满五年_广州增城荔城中区大墩一街二手房(广州链家),10362,2,2,1,1,中,8
1818,85.03,东,简装,一梯十六户,0,花城路双地铁口物业 五年唯一 冰点税费 诚心出售_广州花都旧区花城路二手房(广州链家),10467,3,1,1,1,中,7
1161,112.81,南 北,精装,一梯七户,0,花都湖秀全公园双公园旁，证够五年，业主急售。_广州花都旧区花城路顺景楼二手房(广州链家),10549,3,1,1,1,低,7
1404,82.91,北,精装,一梯四户,0,全新精装大两房，未入住过的喔。_广州增城新塘南卫山北二路二手房(广州链家),10614,2,2,1,1,中,6
612,103.59,北,毛坯,两梯四户,1,毛坯三房，南向望花园，自行安排装修风格。_广州花都炭步好美嘉园二手房(广州链家),10619,3,2,1,1,中,15
1569,101.19,南,毛坯,一梯四户,0,花都万达商圈旁友田碧云轩毛坯三房南向住家精选_广州花都狮岭镇友田碧云轩二手房(广州链家),10673,3,2,1,2,高,8
1707,126,南,毛坯,两梯三户,1,神岗站地铁口人盛巴厘天地双阳台南北对流业主急出手_广州从化神岗镇人盛巴厘天地二手房(广州链家),10715,3,2,1,2,低,17
1289,108.61,南,精装,两梯六户,1,坐拥广州后花园，舒适颐养3居室_广州从化温泉镇富力泉天下二手房(广州链家),10865,3,1,1,2,高,23
1425,113.54,北,毛坯,两梯四户,1,背山靠水，景观宜人。电梯洋房，楼距大采光好_广州从化神岗镇珠光流溪御景二手房(广州链家),11010,3,2,1,2,高,26
525,107.73,南,简装,一梯四户,0,实用方正，中楼层，离地铁近，出行方便_广州增城新塘南顶好大厦二手房(广州链家),11047,3,1,1,1,中,7
1918,84,北,精装,一梯五户,0,四小，低楼层，全新装修3房，随时能看房。_广州花都旧区宝华路(花都)二手房(广州链家),11072,3,2,1,1,低,8
526,80.84,东 南,精装,一梯三户,0,此房满五唯一，花果山地铁，省一级五小，东南向_广州花都旧区永大新城二手房(广州链家),11134,3,2,1,1,高,8
1872,84.5,东北,毛坯,两梯四户,1,望江小户型，心情舒适，适合居住_广州从化神岗镇人盛巴厘天地二手房(广州链家),11243,2,2,1,1,低,17
1659,83.77,东南,简装,一梯四户,1,单价低，总价低，全屋精装，温馨舒适两房，配套成熟_广州从化神岗镇人盛巴厘天地二手房(广州链家),11341,2,2,1,1,中,10
1650,120.06,南,毛坯,两梯四户,1,后面有山，前面有江，南向看花园景方正大三房_广州增城白江锦绣银苑二手房(广州链家),11495,3,2,1,2,高,19
261,80.87,北,毛坯,两梯六户,1,广州东绿湖国际毛坯大两房业主诚心出售_广州增城石滩镇绿湖国际城二手房(广州链家),11500,2,2,1,1,高,26
1424,88.7,南,简装,两梯四户,1,碧桂园物业！南向三房！采光好通风！_广州增城福和镇碧桂园中新首府二手房(广州链家),11500,3,2,1,1,低,26
1940,77.92,南,简装,一梯六户,0,地铁口 够五年唯一物业 小区中间位置不靠路_广州花都旧区侨苑小区(花都区)二手房(广州链家),11551,2,2,1,1,中,8
359,83.3,东南,精装,一梯三户,0,宾馆新村 3室2厅 97.5万_广州花都旧区宾馆新村二手房(广州链家),11705,3,2,1,1,中,7
1114,72.5,西北,精装,一梯三户,0,东方苑，标准两房，带装修，拎包即可入住！_广州花都花山镇东方苑二手房(广州链家),11725,2,1,1,1,中,8
1965,86.82,北,简装,一梯两户,0,富鹏原装彩砖，周园小区，笋笋笋_广州增城荔城富鹏周园小区二手房(广州链家),11749,2,2,1,1,中,7
1879,86.64,东南,简装,一梯三户,0,双地铁口物业，五小就在家旁边，花都广场旁边_广州花都旧区永大新城二手房(广州链家),11773,3,1,1,1,高,8
1886,94.25,北,精装,一梯四户,0,精装实用三房，价钱实惠，业主诚心出售_广州花都花山镇恒昌福邸二手房(广州链家),11884,3,2,1,1,中,11
252,80.58,北,精装,两梯五户,1,富力金港城北区 精装两房 格局方正实用_广州花都花东镇富力金港城北区二手房(广州链家),11914,2,1,1,1,低,18
1392,121.44,南,精装,一梯两户,0,荔建花园 3室1厅 146.8万_广州增城荔城西区荔建花园二手房(广州链家),12089,3,1,1,2,中,7
539,110,南,精装,两梯六户,1,小区环境好，物业好，管理好，楼房都挺不错自住可选_广州增城石滩镇绿湖国际城二手房(广州链家),12091,3,2,1,2,高,32
739,103.69,东北,精装,两梯四户,1,狮城国际精装修拎包入住，东北向望花园，业主置换急卖_广州花都狮岭镇致岭假日花园二手房(广州链家),12152,3,2,1,2,中,11
62,116,南,精装,两梯五户,1,广州东绿湖国际精装南向大三房两厅一厨2卫_广州增城石滩镇绿湖国际城二手房(广州链家),12242,3,2,1,2,高,32
549,102.78,东北,毛坯,一梯四户,1,大城云山  欧式建筑风格  电梯3房毛坯 南向_广州从化太平镇大城云山二手房(广州链家),12454,3,2,1,1,高,15
1715,84,东,简装,两梯八户,1,湖畔花园 过五年唯一 看房方便_广州花都旧区湖畔花园二手房(广州链家),12500,3,1,1,2,中,26
2006,83.89,北,精装,两梯六户,1,精装2房，省装修，视野好，格局靓_广州增城石滩镇绿湖国际城二手房(广州链家),12517,2,2,1,1,中,32
284,77.26,北,毛坯,两梯五户,1,广州东绿湖国际城/毛坯房/两室两厅一厨一卫_广州增城石滩镇绿湖国际城二手房(广州链家),12556,2,2,1,1,中,32
2089,70.06,南,精装,一梯六户,0,格局方正，步梯中层，无遮挡，采光度好。_广州花都新区新拓花园二手房(广州链家),12561,2,2,1,1,中,9
1874,103.45,南,精装,两梯六户,1,绿湖国际城 3室2厅 130万_广州增城石滩镇绿湖国际城二手房(广州链家),12567,3,2,1,2,低,32
1842,115,东南 南,毛坯,两梯六户,1,敏捷绿湖标准三房两厅两卫一厨靓楼层_广州增城石滩镇绿湖国际城二手房(广州链家),12609,3,2,1,2,低,26
79,71.25,东北,精装,两梯五户,1,轩逸荟精装2房  装修保养好 通风采光好 现已改成3房_广州花都狮岭镇智烨山水豪庭二手房(广州链家),12632,2,2,1,1,低,18
90,86.7,南,精装,一梯六户,0,房子格局方正，配套完善，交通方便。_广州花都旧区新中路二手房(广州链家),12688,3,2,1,2,中,9
571,121.69,南,精装,一梯四户,0,美力倚晴居 南向精装3房2厅2卫 证满五唯一 棠澍旁_广州花都旧区美力倚晴居二手房(广州链家),12738,3,2,1,2,高,8
1411,130.16,东南,毛坯,两梯五户,1,业主诚心出售，钥匙在手，随时看房。_广州从化江浦街名城御景绿洲二手房(广州链家),12754,3,2,1,2,中,26
638,84.1,北 东北,精装,两梯六户,1,境优美，物业管理严格，楼盘共有八期，生活配套完善_广州增城石滩镇绿湖国际城二手房(广州链家),12842,3,1,1,1,中,32
702,150.29,东南,毛坯,两梯五户,1,雅宝新城刚需三房 汇通广场商圈轻轨旁 证够二免交超税_广州花都狮岭镇雅宝新城英伦世家二手房(广州链家),12975,3,2,1,2,高,20
743,111.63,南,精装,两梯四户,1,大城云山  环境优美  近地铁口  出行方便_广州从化太平镇大城云山二手房(广州链家),12990,3,1,1,1,中,17
376,79,北,精装,一梯四户,1,北向高层，精装两房，楼层好，视野宽阔，采光充足_广州花都花东镇富力金港城东区二手房(广州链家),13038,2,2,1,1,高,11
343,84.17,南 北,精装,两梯六户,1,富力金港城东区南向两房 楼层好采光充足_广州花都花东镇富力金港城东区二手房(广州链家),13069,2,1,1,1,中,16
1435,116.27,西北,简装,一梯七户,0,花城苑 3室2厅 152万_广州花都旧区花城苑二手房(广州链家),13074,3,2,1,1,中,8
1314,123.85,南,精装,一梯两户,0,房子满五唯一，业主诚心出售，步梯三楼_广州花都旧区文苑小区二手房(广州链家),13081,3,2,1,2,中,7
38,106.82,南,简装,一梯四户,0,正苑洋房，106平方3房2卫。南向中楼层。通风光线足_广州顺德顺德碧桂园顺德碧桂园中北区（洋房）二手房(广州链家),13107,3,2,1,2,中,6
1753,82.36,北,精装,一梯四户,1,富力金港城 两房两厅 精装修 高楼层_广州花都花东镇富力金港城东区二手房(广州链家),13114,2,2,1,1,高,11
716,83.61,西北,简装,两梯八户,1,花都湖旁，电梯靓层，证够五年唯一业主急售。_广州花都旧区湖畔花园二手房(广州链家),13157,3,1,1,2,高,26
918,90.56,南 北,毛坯,两梯六户,1,毛呸 南向三房，高楼层，业主诚意出售_广州花都铁路西荔园悦享花醍二手房(广州链家),13251,3,2,1,1,中,30
275,98,南,毛坯,两梯六户,1,翡翠蓝湾 电梯三房 毛坯可自主装修_广州南沙大岗镇大岗翡翠蓝湾北区二手房(广州链家),13266,3,1,1,1,中,18
1351,56.48,东,简装,一梯两户,0,罗冲围低总价实正实用两室  厅直出阳台 总价低_广州白云罗冲围松北水厂宿舍二手房(广州链家),13280,2,1,1,1,高,9
1395,115,北,精装,两梯四户,1,美力倚晴居   三房两厅一厨两卫 115平  朝北。_广州花都旧区美力倚晴居二手房(广州链家),13305,3,2,1,2,中,7
1429,120,西南,简装,两梯五户,1,珠江壹城 3室1厅 160万_广州从化神岗镇珠江壹城二手房(广州链家),13334,3,1,1,2,高,27
553,131.22,南,精装,一梯两户,0,新康花园、南向 精致三房两厅、_广州增城白江新康花园二手房(广州链家),13337,3,2,1,1,中,7
